,ball_milling_uid,ball_milling_process_name,milling_time,milling_time_units,milling_speed,milling_speed_units,ball_milling_output_material_name,ball_milling_output_material_uid,hot_press_uid,hot_press_process_name,hot_press_temperature,hot_press_temperature_units,hot_press_pressure,hot_press_pressure_units,hot_press_time,hot_press_time_units,hot_press_output_material_name,hot_press_output_material_uid,Zn_uid,Zn_material_name,Zn_mass_fraction,Cu_uid,Cu_material_name,Cu_mass_fraction,Se_uid,Se_material_name,Se_mass_fraction,bm_icp_lab_measurement,bm_icp_lab_pb_concentration,bm_icp_lab_sn_concentration,bm_icp_lab_o_concentration,bm_icp_lab_gas_flow_rate_l_min,bm_icp_lab_gas_type,bm_icp_lab_plasma_temperature_celsius,bm_icp_lab_detector_temperature_celsius,bm_icp_lab_field_strength_t,bm_icp_lab_plasma_observation,bm_icp_lab_radio_requency_mhz,bm_icp_lab_results,hp_icp_lab_measurement,hp_icp_lab_pb_concentration,hp_icp_lab_sn_concentration,hp_icp_lab_o_concentration,hp_icp_lab_gas_flow_rate_l_min,hp_icp_lab_gas_type,hp_icp_lab_plasma_temperature_celsius,hp_icp_lab_detector_temperature_celsius,hp_icp_lab_field_strength_t,hp_icp_lab_plasma_observation,hp_icp_lab_radio_requency_mhz,hp_icp_lab_results,bm_hall_lab_measurement,bm_hall_lab_probe_resistance_ohm,bm_hall_lab_gas_flow_rate_l_min,bm_hall_lab_gas_type,bm_hall_lab_probe_material,bm_hall_lab_current_ma,bm_hall_lab_field_strength_t,bm_hall_lab_sample_position,bm_hall_lab_magnet_reversal,bm_hall_lab_results,hp_hall_lab_measurement,hp_hall_lab_probe_resistance_ohm,hp_hall_lab_gas_flow_rate_l_min,hp_hall_lab_gas_type,hp_hall_lab_probe_material,hp_hall_lab_current_ma,hp_hall_lab_field_strength_t,hp_hall_lab_sample_position,hp_hall_lab_magnet_reversal,hp_hall_lab_results
0,MATX-BM001,high energy ball milling,15.0,hr,200.0,rpm,powder,MATX-BM-M001,MATX-HP001,Hot Isostatic Press,850.0,degC,100.0,MPa,1.0,hr,final pellet,MATX-HP-M001,MATX-PR-001,Zn,0.02,MATX-PR-002,Cu,0.92,MATX-PR-003,Se,0.06,ICP,0.5,0.3,1.1,13.0,Ar,10000.0,0.0,1.0,Radial,30.0,True,,,,,,,,,,,,False,,,,,,,,,,False,Hall,2.3,1.0,Ar,W,0.1,5.0,1.0,True,True
1,MATX-BM002,high energy ball milling,30.0,hr,200.0,rpm,powder,MATX-BM-M002,MATX-HP002,Hot Isostatic Press,850.0,degC,200.0,MPa,0.5,hr,final pellet,MATX-HP-M002,MATX-PR-004,Zn,0.04,MATX-PR-005,Cu,0.9,MATX-PR-006,Se,0.06,,,,,,,,,,,,False,,,,,,,,,,,,False,,,,,,,,,,False,Hall,7.5,1.0,Ar,W,0.1,5.0,1.0,True,True
2,MATX-BM003,high energy ball milling,45.0,hr,200.0,rpm,powder,MATX-BM-M003,MATX-HP003,Hot Isostatic Press,900.0,degC,100.0,MPa,1.0,hr,final pellet,MATX-HP-M003,MATX-PR-007,Zn,0.06,MATX-PR-008,Cu,0.88,MATX-PR-009,Se,0.06,,,,,,,,,,,,False,ICP,0.7,0.3,1.0,13.0,Ar,10000.0,0.0,1.0,Radial,31.0,True,,,,,,,,,,False,Hall,8.1,1.0,Ar,W,0.1,5.0,2.0,True,True
3,MATX-BM004,high energy ball milling,60.0,hr,200.0,rpm,powder,MATX-BM-M004,MATX-HP004,Hot Isostatic Press,900.0,degC,200.0,MPa,0.5,hr,final pellet,MATX-HP-M004,MATX-PR-010,Zn,0.08,MATX-PR-011,Cu,0.86,MATX-PR-012,Se,0.06,,,,,,,,,,,,False,ICP,0.7,0.4,0.9,13.0,Ar,10000.0,0.0,1.0,Radial,32.0,True,Hall,3.1,1.0,Ar,W,0.1,5.0,1.0,True,True,,,,,,,,,,False
4,MATX-BM005,high energy ball milling,15.0,hr,225.0,rpm,powder,MATX-BM-M005,MATX-HP005,Hot Isostatic Press,1000.0,degC,100.0,MPa,1.0,hr,final pellet,MATX-HP-M005,MATX-PR-013,Zn,0.1,MATX-PR-014,Cu,0.84,MATX-PR-015,Se,0.06,ICP,0.7,0.3,1.2,13.0,Ar,10000.0,0.0,1.0,Radial,33.0,True,ICP,0.6,0.2,1.0,13.0,Ar,10000.0,0.0,1.0,Radial,37.0,True,Hall,1.5,1.0,Ar,W,0.1,5.0,2.0,True,True,,,,,,,,,,False
5,MATX-BM006,high energy ball milling,30.0,hr,225.0,rpm,powder,MATX-BM-M006,MATX-HP006,Hot Isostatic Press,1000.0,degC,200.0,MPa,0.5,hr,final pellet,MATX-HP-M006,MATX-PR-016,Zn,0.12,MATX-PR-017,Cu,0.82,MATX-PR-018,Se,0.06,ICP,0.6,0.3,1.1,13.0,Ar,10000.0,0.0,1.0,Radial,34.0,True,ICP,0.6,0.3,0.9,13.0,Ar,10000.0,0.0,1.0,Radial,38.0,True,,,,,,,,,,False,,,,,,,,,,False
6,MATX-BM007,high energy ball milling,45.0,hr,225.0,rpm,powder,MATX-BM-M007,MATX-HP007,Hot Isostatic Press,1050.0,degC,100.0,MPa,1.0,hr,final pellet,MATX-HP-M007,MATX-PR-019,Zn,0.14,MATX-PR-020,Cu,0.8,MATX-PR-021,Se,0.06,ICP,0.6,0.3,1.0,13.0,Ar,10000.0,0.0,1.0,Radial,35.0,True,,,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,,False
7,MATX-BM008,high energy ball milling,60.0,hr,225.0,rpm,powder,MATX-BM-M008,MATX-HP008,Hot Isostatic Press,1050.0,degC,200.0,MPa,0.5,hr,final pellet,MATX-HP-M008,MATX-PR-022,Zn,0.16,MATX-PR-023,Cu,0.78,MATX-PR-024,Se,0.06,ICP,0.5,0.2,1.0,13.0,Ar,10000.0,0.0,1.0,Radial,36.0,True,,,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,,False
8,MATX-BM009,high energy ball milling,15.0,hr,250.0,rpm,powder,MATX-BM-M009,MATX-HP009,Hot Isostatic Press,1100.0,degC,100.0,MPa,1.0,hr,final pellet,MATX-HP-M009,MATX-PR-025,Zn,0.18,MATX-PR-026,Cu,0.76,MATX-PR-027,Se,0.06,ICP,0.6,0.3,1.0,13.0,Ar,10000.0,0.0,1.0,Radial,41.0,True,ICP,0.5,0.4,0.9,13.0,Ar,10000.0,0.0,1.0,Radial,39.0,True,Hall,4.3,1.0,Ar,W,0.1,5.0,1.0,True,True,,,,,,,,,,False
9,MATX-BM010,high energy ball milling,30.0,hr,250.0,rpm,powder,MATX-BM-M010,MATX-HP010,Hot Isostatic Press,1100.0,degC,200.0,MPa,0.5,hr,final pellet,MATX-HP-M010,MATX-PR-028,Zn,0.2,MATX-PR-029,Cu,0.74,MATX-PR-030,Se,0.06,,,,,,,,,,,,False,ICP,0.5,0.4,1.1,13.0,Ar,10000.0,0.0,1.0,Radial,40.0,True,,,,,,,,,,False,,,,,,,,,,False
